都道府県,地名,緯度,経度
北海道,札幌市,43.065,141.347
青森県,青森市,40.824,140.74
秋田県,秋田市,39.719,140.102
岩手県,盛岡市,39.704,141.153
宮城県,仙台市,38.269,140.872
山形県,山形市,38.24,140.364
新潟県,新潟市,37.903,139.023
福島県,福島市,37.75,140.468
富山県,富山市,36.695,137.211
長野県,長野市,36.651,138.181
石川県,金沢市,36.595,136.626
栃木県,宇都宮市,36.563,139.883
群馬県,前橋市,36.391,139.06
茨城県,水戸市,36.342,140.447
福井県,福井市,36.065,136.222
埼玉県,さいたま市,35.857,139.649
東京都,東京,35.689,139.692
山梨県,甲府市,35.664,138.568
千葉県,千葉市,35.605,140.123
鳥取県,鳥取市,35.504,134.238
島根県,松江市,35.472,133.05
神奈川県,横浜市,35.448,139.642
岐阜県,岐阜市,35.391,136.722
愛知県,名古屋市,35.18,136.907
京都府,京都市,35.021,135.756
滋賀県,大津市,35.005,135.869
静岡県,静岡市,34.977,138.383
三重県,津市,34.73,136.509
兵庫県,神戸市,34.691,135.183
大阪府,大阪市,34.686,135.52
奈良県,奈良市,34.685,135.833
岡山県,岡山市,34.662,133.934
広島県,広島市,34.397,132.46
香川県,高松市,34.34,134.043
和歌山県,和歌山市,34.227,135.167
山口県,山口市,34.186,131.471
徳島県,徳島市,34.066,134.559
愛媛県,松山市,33.842,132.766
福岡県,福岡市,33.607,130.418
高知県,高知市,33.56,133.531
佐賀県,佐賀市,33.249,130.3
大分県,大分市,33.238,131.613
熊本県,熊本市,32.79,130.742
長崎県,長崎市,32.745,129.874
宮崎県,宮崎市,31.911,131.424
鹿児島県,鹿児島市,31.56,130.558
沖縄県,那覇市,26.212,127.681
北海道,釧路市,43.1867,144.094261
北海道,旭川市,43.770858,142.364983
沖縄県,奄美市,27.995958,129.251929
沖縄県,石垣市,24.472382,124.205325
